Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
4.800	0.86	0.70	-9.75	0.02	0.12	0.01
4.828	0.82	0.66	-9.79	-0.01	0.13	0.04
4.854	0.96	0.73	-9.73	-0.02	-0.01	-0.05
4.882	0.88	0.74	-9.76	-0.07	-0.09	0.07
4.912	0.83	0.65	-9.70	0.04	-0.04	0.00
4.938	0.88	0.73	-9.73	0.01	0.05	0.07
4.966	0.91	0.71	-9.79	-0.03	-0.06	-0.13
4.993	0.90	0.69	-9.73	0.08	-0.01	0.00
5.019	0.86	0.67	-9.73	0.02	-0.04	-0.02
5.047	0.83	0.64	-9.78	-0.05	0.03	0.06
5.073	0.93	0.75	-9.75	0.02	-0.09	-0.07
5.118	0.83	0.75	-9.80	0.08	-0.07	0.07
5.145	0.52	0.55	-9.77	-0.01	-0.09	-0.15
5.173	1.13	1.13	-10.13	-0.05	-0.01	-0.01
5.199	1.18	1.08	-9.57	0.00	-0.12	0.03
5.226	0.48	-0.49	-9.52	-0.02	-0.04	-0.03
5.254	0.68	0.55	-8.88	-0.04	0.02	-0.03
5.283	1.80	-0.17	-9.37	-0.06	-0.05	0.03
5.311	1.72	-0.70	-8.58	-0.00	0.05	0.04
5.338	0.83	-1.29	-11.35	-0.01	-0.00	0.12
5.365	-0.29	3.51	-12.42	-0.01	0.00	0.06
5.392	1.00	0.55	-8.15	-0.05	0.14	0.08
5.419	2.69	-0.19	-9.60	0.00	0.08	-0.01
5.446	1.12	0.04	-9.53	0.12	0.06	-0.07
5.473	0.68	0.88	-10.11	-0.05	0.01	-0.00
5.500	0.84	0.40	-10.31	0.05	0.01	0.06
5.527	1.13	1.02	-9.73	0.06	0.00	-0.11
5.554	1.50	0.76	-10.24	-0.04	-0.02	0.06
5.581	1.23	0.52	-9.70	-0.09	0.08	0.13
5.608	0.27	1.56	-9.30	-0.13	0.04	0.14
5.639	1.42	0.53	-10.14	0.10	-0.07	-0.04
5.665	1.03	0.74	-9.88	0.06	0.01	0.14
5.692	0.70	0.93	-8.53	-0.01	-0.01	-0.09
5.720	0.95	1.78	-9.91	0.02	0.12	0.01
5.746	-0.17	2.59	-9.69	0.07	-0.05	0.12
5.774	1.49	-1.18	-8.32	-0.09	0.01	-0.01
5.800	0.47	0.02	-8.72	0.00	-0.01	0.14
5.827	1.92	0.35	-10.04	-0.13	0.06	0.07
5.855	0.81	0.48	-9.80	-0.05	0.08	0.05
5.881	1.06	0.73	-9.42	-0.01	0.04	0.05
5.909	0.98	0.01	-9.91	0.10	-0.09	0.05
5.936	0.92	0.57	-9.46	0.08	-0.11	-0.06
5.962	1.14	0.73	-9.57	-0.03	-0.09	0.11
5.993	0.57	0.87	-9.65	0.01	0.05	0.00
6.020	0.91	0.71	-9.77	-0.03	0.11	-0.02
6.046	1.62	1.21	-10.01	-0.06	-0.00	-0.05
6.074	0.69	0.45	-9.39	-0.09	-0.07	-0.03
6.100	0.93	-0.10	-10.36	-0.03	0.11	0.04
6.128	1.19	-0.54	-9.88	-0.07	-0.04	-0.04
6.155	2.52	0.33	-11.25	0.12	-0.08	-0.03
6.182	0.04	-0.09	-8.68	-0.02	-0.06	-0.03
6.209	-0.22	0.35	-8.88	-0.05	0.04	0.01
6.237	1.38	0.29	-9.39	0.07	-0.02	-0.02
6.263	0.76	-0.39	-10.05	-0.03	0.03	0.04
6.291	0.94	0.11	-9.83	-0.03	0.01	0.09
6.318	1.12	0.77	-9.29	0.04	0.06	-0.02
6.347	1.74	0.61	-9.47	-0.03	-0.06	-0.04
6.375	1.35	0.40	-9.75	0.04	-0.05	-0.01
6.402	0.96	1.01	-9.71	0.01	-0.03	0.03
6.428	0.91	0.83	-9.84	0.03	0.02	-0.14
6.456	0.83	0.70	-9.72	0.02	-0.02	-0.03
6.482	1.00	0.63	-9.74	0.07	-0.11	-0.03
6.510	0.92	0.74	-9.73	-0.04	0.05	0.04
6.537	0.88	0.78	-9.75	-0.10	0.13	0.13
6.563	0.82	0.69	-9.76	0.01	-0.08	0.01
6.591	0.86	0.80	-9.74	0.06	-0.06	0.04
6.618	0.85	0.64	-9.80	-0.03	-0.04	0.08
6.645	0.83	0.70	-9.74	0.01	0.03	0.14
6.672	0.83	0.73	-9.82	0.06	-0.08	-0.03
6.699	0.84	0.73	-9.72	-0.05	0.11	-0.03
6.728	0.83	0.75	-9.69	0.02	-0.03	0.09
6.756	0.85	0.62	-9.74	0.01	0.03	0.03
6.782	0.83	0.72	-9.75	0.04	-0.02	-0.17
6.810	0.86	0.73	-9.78	0.08	0.01	-0.02
6.837	0.82	0.68	-9.77	0.02	0.01	-0.07
6.863	0.78	0.84	-9.78	0.00	0.04	0.05
6.891	0.95	1.91	-9.23	-0.06	0.01	-0.01
6.918	1.07	1.64	-9.75	-0.05	-0.01	-0.01
6.945	1.31	1.23	-9.75	-0.07	-0.00	0.05
6.972	0.14	1.45	-10.29	-0.08	0.06	0.08
6.999	-0.25	2.23	-12.16	0.04	0.02	0.05
7.026	1.51	1.21	-8.22	-0.08	0.03	-0.04
7.053	-1.70	1.66	-9.55	0.02	-0.04	0.04
7.084	1.46	-0.47	-11.28	-0.14	-0.10	0.07
7.110	2.06	-0.94	-6.13	0.09	0.04	-0.02
7.138	1.01	1.72	-9.63	0.02	0.13	-0.06
7.164	0.81	0.83	-8.93	-0.13	0.00	0.04
7.197	0.29	0.17	-10.11	-0.01	0.02	0.04
7.224	1.47	1.19	-10.27	0.01	0.11	0.08
7.251	0.41	1.13	-9.60	0.00	-0.04	0.27
7.278	0.94	0.83	-9.91	-0.01	-0.02	-0.08
7.306	0.72	0.37	-9.67	0.06	0.00	-0.04
7.332	0.83	0.87	-9.88	-0.07	0.02	0.05
7.359	0.83	0.81	-9.73	0.09	-0.04	-0.04
7.387	0.74	0.52	-9.89	-0.03	0.15	0.06
7.413	0.67	0.40	-9.25	-0.05	0.00	0.06
7.443	1.01	0.71	-9.96	-0.02	0.03	0.04
7.471	1.27	0.62	-9.82	0.06	-0.11	-0.13
7.497	1.35	1.93	-9.50	-0.04	0.02	0.10
7.524	1.58	0.45	-11.09	-0.03	0.01	-0.02
7.552	2.88	-1.22	-8.30	0.03	0.04	0.03
7.578	0.19	0.93	-9.22	-0.13	0.02	0.01
7.606	1.45	-0.87	-8.12	-0.05	0.03	-0.09
7.632	0.49	-0.66	-9.01	-0.03	0.03	0.11
7.660	2.14	0.27	-9.86	-0.04	0.00	-0.04
7.687	1.19	1.52	-10.06	0.05	-0.02	-0.02
7.713	1.31	1.76	-10.21	-0.12	0.10	-0.07
7.741	0.92	1.21	-9.74	-0.07	0.01	0.09
7.768	0.84	0.75	-9.63	0.04	0.14	-0.06
7.798	1.45	0.53	-10.09	0.07	-0.07	-0.10
7.825	1.04	0.98	-9.60	-0.11	0.11	0.03
7.852	0.87	0.70	-9.85	-0.03	0.09	0.04
7.879	0.96	0.88	-9.77	0.04	0.00	-0.07
7.906	0.84	0.65	-9.63	0.02	0.01	-0.01
7.932	0.92	0.73	-9.74	-0.04	-0.07	-0.03
7.960	0.85	0.70	-9.69	0.01	-0.08	0.04
7.987	0.91	0.68	-9.78	-0.06	-0.07	0.03
8.014	0.91	0.76	-9.80	0.01	0.01	-0.01
8.041	0.91	0.78	-9.78	-0.07	-0.04	0.10
8.068	0.93	0.65	-9.75	-0.02	-0.07	0.05
8.095	0.86	0.68	-9.79	0.10	-0.01	-0.10
8.122	0.82	0.68	-9.73	0.12	0.05	-0.07
8.150	0.82	0.65	-9.83	-0.04	-0.04	-0.02
8.174	0.83	0.67	-9.80	0.01	-0.07	0.03
8.201	0.86	0.75	-9.71	-0.01	0.02	0.07
8.227	0.96	0.65	-9.70	-0.02	0.07	-0.03
8.255	0.91	0.69	-9.75	0.01	0.01	0.11
8.282	0.84	0.65	-9.78	-0.01	0.14	-0.12
8.309	0.87	0.70	-9.81	0.04	0.03	0.05
8.336	0.86	0.70	-9.82	0.00	-0.07	-0.10
8.363	0.83	0.78	-9.70	-0.05	0.05	0.07
8.390	0.87	0.73	-9.80	0.10	0.05	0.01
8.417	0.93	0.71	-9.77	0.08	-0.03	0.01
8.443	0.35	0.69	-9.96	-0.04	0.14	0.03
8.471	1.07	1.05	-9.98	-0.04	-0.05	0.02
8.498	0.97	0.89	-9.55	0.02	0.04	-0.02
8.527	0.83	1.16	-9.89	-0.12	0.10	-0.04
8.555	0.75	0.72	-9.99	0.12	-0.04	-0.00
8.582	0.75	0.36	-9.84	0.03	0.06	0.14
8.608	0.70	0.75	-9.65	-0.04	-0.06	-0.02
8.636	1.16	0.75	-9.93	0.07	-0.07	-0.13
8.663	0.70	0.56	-8.96	0.15	-0.09	-0.08
8.690	0.96	0.85	-9.80	0.07	-0.06	0.01
8.717	0.74	0.69	-9.98	0.07	-0.08	-0.03
8.743	0.75	0.66	-9.64	0.04	-0.07	0.05
8.771	0.86	0.46	-9.81	0.02	0.09	0.04
8.798	0.81	0.27	-9.75	-0.03	0.07	-0.03
8.824	0.81	0.98	-9.83	0.05	-0.00	0.03
8.852	1.11	0.29	-9.81	0.06	0.03	0.01
8.882	0.90	0.87	-9.77	0.01	-0.04	-0.00
8.908	0.89	0.61	-9.96	0.01	0.04	-0.05
8.936	1.04	0.80	-9.67	0.05	-0.12	0.01
8.963	0.96	0.88	-9.63	0.04	-0.12	-0.05
8.990	0.80	0.53	-10.11	0.07	-0.10	-0.07
9.017	1.01	0.96	-9.73	-0.02	-0.00	0.02
9.043	0.88	0.40	-9.96	0.00	0.01	-0.06
9.071	0.60	1.80	-9.57	0.03	-0.03	-0.09
9.098	0.73	-0.31	-9.81	-0.01	0.04	0.13
9.125	1.13	1.12	-9.42	-0.16	-0.03	-0.06
9.152	0.55	0.81	-8.81	0.06	0.00	-0.03
9.179	2.01	1.34	-8.78	-0.07	0.04	0.03
9.206	-0.72	1.85	-10.01	0.09	-0.03	-0.06
9.236	0.66	-0.52	-11.10	-0.01	-0.06	-0.05
9.264	2.73	0.45	-9.14	-0.01	0.04	-0.05
9.290	1.47	-0.97	-9.50	0.01	-0.04	0.07
9.317	1.16	-0.83	-8.15	-0.01	0.01	0.01
9.345	1.81	0.52	-9.85	0.05	-0.06	0.03
9.371	1.67	0.87	-9.93	-0.11	0.12	0.03
9.416	1.56	0.50	-9.63	-0.07	0.09	-0.11
9.443	1.20	1.63	-9.50	-0.01	-0.02	0.01
9.470	0.34	0.79	-10.51	-0.03	0.07	0.15
