Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
6.267	0.25	0.04	-11.31	-0.04	0.09	-0.02
6.294	1.41	1.88	-10.38	0.04	-0.10	-0.06
6.324	0.58	0.42	-9.46	0.02	0.00	0.00
6.351	0.40	0.32	-11.04	-0.10	-0.03	0.04
6.378	-0.12	0.62	-10.47	-0.04	0.06	-0.08
6.406	1.03	0.78	-8.15	-0.07	0.01	0.06
6.432	1.11	1.77	-8.67	-0.03	0.00	-0.07
6.459	1.78	0.93	-9.87	0.16	-0.13	-0.00
6.487	0.45	0.06	-8.93	0.09	-0.06	-0.01
6.513	3.14	0.83	-8.79	-0.01	0.07	-0.12
6.541	1.94	1.94	-10.21	0.04	-0.06	0.03
6.567	2.39	-0.73	-9.15	0.11	0.02	0.03
6.595	-0.02	0.65	-9.84	0.01	0.09	0.11
6.622	0.73	1.01	-10.28	-0.12	-0.03	0.03
6.648	1.09	-0.68	-9.30	-0.05	0.07	0.09
6.679	0.29	1.66	-11.28	0.03	0.09	-0.09
6.706	1.88	1.13	-9.42	0.02	-0.00	-0.05
6.733	0.34	-0.68	-9.77	-0.01	-0.14	-0.10
6.760	2.35	0.56	-10.24	-0.01	-0.09	-0.03
6.788	0.13	-0.67	-10.32	0.07	-0.12	-0.01
6.814	1.75	1.44	-9.68	-0.08	-0.14	0.06
6.842	0.66	0.34	-8.61	-0.09	-0.10	0.13
6.868	2.33	1.70	-9.67	0.04	0.08	0.16
6.895	-1.11	-0.24	-8.91	0.05	-0.04	0.22
6.923	1.31	1.94	-10.79	-0.11	0.00	0.21
6.949	1.41	1.77	-9.49	0.04	0.06	0.26
6.977	1.03	0.01	-10.65	0.01	-0.01	0.06
7.004	1.12	0.99	-9.32	-0.03	-0.03	0.03
7.034	1.42	-0.50	-9.65	-0.00	-0.17	0.03
7.061	1.31	0.78	-10.67	0.05	-0.06	0.13
7.088	2.53	0.47	-9.78	-0.02	-0.18	-0.02
7.115	0.14	0.27	-8.84	0.00	-0.10	-0.03
7.142	0.70	0.91	-9.84	0.03	0.08	-0.11
7.170	1.11	0.72	-8.64	0.03	0.07	0.11
7.196	0.86	0.98	-9.62	0.11	0.00	-0.12
7.223	1.36	-0.88	-9.22	0.08	0.09	0.03
7.250	0.29	1.29	-10.21	-0.01	-0.07	-0.06
7.277	1.70	1.13	-9.68	0.07	0.16	-0.10
7.305	0.22	0.50	-9.13	0.05	-0.14	-0.15
7.331	0.09	0.76	-11.67	0.11	-0.00	-0.19
7.359	0.89	-1.39	-9.55	-0.02	-0.15	-0.19
